source	target	edge_score	max_head_layer_score	top_head_layers
ID1	MBL2	0.0118309324607253	0.047943115234375	"[{""layer"": 2, ""head"": 7, ""score"": 0.047943115234375}, {""layer"": 4, ""head"": 5, ""score"": 0.04461669921875}, {""layer"": 0, ""head"": 5, ""score"": 0.040771484375}, {""layer"": 4, ""head"": 0, ""score"": 0.0355224609375}, {""layer"": 7, ""head"": 1, ""score"": 0.035491943359375}]"
BATF	GDF3	0.0107772331684827	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
ZFP36	MBL2	0.0102573214098811	0.060546875	"[{""layer"": 2, ""head"": 2, ""score"": 0.060546875}, {""layer"": 0, ""head"": 5, ""score"": 0.05804443359375}, {""layer"": 4, ""head"": 5, ""score"": 0.05792236328125}, {""layer"": 5, ""head"": 6, ""score"": 0.050811767578125}, {""layer"": 2, ""head"": 1, ""score"": 0.045654296875}]"
FOS	MBL2	0.0100551601499319	0.06011962890625	"[{""layer"": 2, ""head"": 2, ""score"": 0.06011962890625}, {""layer"": 0, ""head"": 5, ""score"": 0.039306640625}, {""layer"": 4, ""head"": 5, ""score"": 0.037384033203125}, {""layer"": 5, ""head"": 6, ""score"": 0.036102294921875}, {""layer"": 4, ""head"": 0, ""score"": 0.033111572265625}]"
FOSB	MBL2	0.009412127546966	0.0653076171875	"[{""layer"": 2, ""head"": 2, ""score"": 0.0653076171875}, {""layer"": 5, ""head"": 6, ""score"": 0.03753662109375}, {""layer"": 4, ""head"": 0, ""score"": 0.03704833984375}, {""layer"": 3, ""head"": 6, ""score"": 0.0311279296875}, {""layer"": 4, ""head"": 5, ""score"": 0.0311126708984375}]"
KLF2	MBL2	0.0091697135940194	0.0560302734375	"[{""layer"": 4, ""head"": 5, ""score"": 0.0560302734375}, {""layer"": 0, ""head"": 5, ""score"": 0.040069580078125}, {""layer"": 4, ""head"": 0, ""score"": 0.035858154296875}, {""layer"": 7, ""head"": 1, ""score"": 0.0330810546875}, {""layer"": 5, ""head"": 5, ""score"": 0.03228759765625}]"
POU2AF1	GDF3	0.0083256540820002	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
IRF8	MBL2	0.0081663094460964	0.058074951171875	"[{""layer"": 0, ""head"": 5, ""score"": 0.058074951171875}, {""layer"": 4, ""head"": 5, ""score"": 0.053558349609375}, {""layer"": 5, ""head"": 6, ""score"": 0.042938232421875}, {""layer"": 4, ""head"": 0, ""score"": 0.03802490234375}, {""layer"": 2, ""head"": 2, ""score"": 0.033447265625}]"
POU2AF1	KIR2DL3	0.0078917816281318	0.07025146484375	"[{""layer"": 1, ""head"": 4, ""score"": 0.07025146484375}, {""layer"": 0, ""head"": 0, ""score"": 0.06488037109375}, {""layer"": 0, ""head"": 1, ""score"": 0.0307464599609375}, {""layer"": 0, ""head"": 4, ""score"": 0.0280914306640625}, {""layer"": 9, ""head"": 1, ""score"": 0.0251922607421875}]"
TLX1	PBK	0.0077263107523322	0.0	"[{""layer"": 8, ""head"": 0, ""score"": 0.0}, {""layer"": 7, ""head"": 7, ""score"": 0.0}, {""layer"": 8, ""head"": 2, ""score"": 0.0}, {""layer"": 8, ""head"": 3, ""score"": 0.0}, {""layer"": 8, ""head"": 1, ""score"": 0.0}]"
