layer	head	precision	recall	f1	aupr	predicted_edges	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
0	0	0.005454545454545455	0.09375	0.010309278350515464	0.005481633870274251	550	32	13189	30	0.002274622791720373	13189	0.005942390592742388	0.0020874228007637277	0.0030575672006552717	0.01016975121254804	18.5	0.16
0	1	0.005454545454545455	0.09375	0.010309278350515464	0.006957519656557743	550	32	13189	30	0.002274622791720373	13189	0.008756418180817247	0.0047446846752246825	0.0030206280783163972	0.022339077412071518	8.92	0.72
0	2	0.0	0.0	0.0	0.0037775166242848667	550	32	13189	30	0.002274622791720373	13189	0.004185918625186073	0.001207746084637079	0.0024589744429097276	0.006514653553563998	86.3	0.0
0	3	0.0	0.0	0.0	0.0021764202857276005	550	32	13189	30	0.002274622791720373	13189	0.00272886700702057	0.0007940804160619058	0.0013198343185251986	0.004361924761736866	95.2	0.0
0	4	0.00909090909090909	0.15625	0.01718213058419244	0.005274321006843883	550	32	13189	30	0.002274622791720373	13189	0.005792478259758398	0.001998216728065804	0.002882232441314414	0.009863686001970325	23.12	0.06
0	5	0.0	0.0	0.0	0.003712526231931566	550	32	13189	30	0.002274622791720373	13189	0.004097763754724589	0.0011547338375529454	0.0025056373430537445	0.006475151636839855	89.3	0.0
0	6	0.012727272727272728	0.21875	0.024054982817869417	0.012862583629924053	550	32	13189	30	0.002274622791720373	13189	0.014647871636296717	0.0079387893479663	0.004334236150653628	0.03589958700875448	1.84	1.0
0	7	0.0018181818181818182	0.03125	0.0034364261168384883	0.00234145825422732	550	32	13189	30	0.002274622791720373	13189	0.0030340608434153743	0.001021741319614426	0.0014966630695787523	0.004908166124246727	91.5	0.0
1	0	0.0018181818181818182	0.03125	0.0034364261168384883	0.003912898062852488	550	32	13189	30	0.002274622791720373	13189	0.004321569315135205	0.0012861552008968157	0.002601793014860706	0.0071378216937170065	80.18	0.0
1	1	0.0036363636363636364	0.0625	0.006872852233676977	0.004659149192819317	550	32	13189	30	0.002274622791720373	13189	0.005136683430993497	0.0015944720346385145	0.0026807685283784795	0.007729316097547315	41.32	0.02
1	2	0.0	0.0	0.0	0.003601297702612125	550	32	13189	30	0.002274622791720373	13189	0.003963806194851735	0.0010973881961450285	0.0023920121055913453	0.006370231611116051	92.96	0.0
1	3	0.005454545454545455	0.09375	0.010309278350515464	0.0044429203747480255	550	32	13189	30	0.002274622791720373	13189	0.004779551090315613	0.0014424668532705997	0.0026118202791348853	0.008190886948880472	55.92	0.0
1	4	0.0018181818181818182	0.03125	0.0034364261168384883	0.004036171391806518	550	32	13189	30	0.002274622791720373	13189	0.004427888027989891	0.001286449652063218	0.0024696749596280626	0.006639530635081484	74.0	0.0
1	5	0.0036363636363636364	0.0625	0.006872852233676977	0.0039395703641978575	550	32	13189	30	0.002274622791720373	13189	0.004373578931356579	0.001241564784091277	0.0024672418527514365	0.006521620865585988	74.86	0.0
1	6	0.007272727272727273	0.125	0.013745704467353953	0.005420858472433859	550	32	13189	30	0.002274622791720373	13189	0.005847783179391841	0.0019413841866412966	0.0029762505579372504	0.010115928107521632	18.94	0.06
1	7	0.0	0.0	0.0	0.0036610281291283033	550	32	13189	30	0.002274622791720373	13189	0.004026589727159498	0.001115311674487765	0.002399795426159535	0.006357350851058851	91.06	0.0
2	0	0.0018181818181818182	0.03125	0.0034364261168384883	0.00424121168615863	550	32	13189	30	0.002274622791720373	13189	0.004677746587397542	0.0013967169011609181	0.0026666348473466644	0.007527166695102287	62.68	0.0
2	1	0.0018181818181818182	0.03125	0.0034364261168384883	0.004265428863748141	550	32	13189	30	0.002274622791720373	13189	0.0045871766209207125	0.0013241752078947192	0.002658150264330875	0.007362737476547573	65.26	0.0
