quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.8	top20%	0.03255420997738834	1	5	1:5	19	11	0.5789473684210527	5.647801302931596	0.00028658153317516266	0.012036424393356832	True
0.8	top20%	0.03255420997738834	0	7	0:7	144	44	0.3055555555555556	1.8772262773722628	0.0010829327235525447	0.022741587194603438	True
0.8	top20%	0.03255420997738834	1	1	1:1	23	8	0.34782608695652173	2.1574193548387095	0.07071662605893474	0.6165106059067036	False
0.8	top20%	0.03255420997738834	0	3	0:3	31	10	0.3225806451612903	1.9294990723562153	0.07339411975079806	0.6165106059067036	False
0.8	top20%	0.03255420997738834	0	6	0:6	83	23	0.27710843373493976	1.5710169491525423	0.05293141604689286	0.6165106059067036	False
0.8	top20%	0.03255420997738834	4	7	4:7	13	5	0.38461538461538464	2.5179712460063897	0.09890939711849708	0.6923657798294797	False
0.8	top20%	0.03255420997738834	1	3	1:3	14	5	0.35714285714285715	2.236421725239617	0.12970034582271833	0.7664069262359288	False
0.8	top20%	0.03255420997738834	3	2	3:2	15	5	0.3333333333333333	2.011182108626198	0.16423005562198473	0.7664069262359288	False
0.8	top20%	0.03255420997738834	4	3	4:3	15	5	0.3333333333333333	2.011182108626198	0.16423005562198473	0.7664069262359288	False
0.8	top20%	0.03255420997738834	2	2	2:2	20	6	0.3	1.723901098901099	0.1957862300055154	0.7930515595417469	False
0.8	top20%	0.03255420997738834	8	0	8:0	29	8	0.27586206896551724	1.5336405529953918	0.20945760521449308	0.7930515595417469	False
0.8	top20%	0.03255420997738834	1	7	1:7	34	9	0.2647058823529412	1.4493203883495145	0.22658615986907055	0.7930515595417469	False
0.8	top20%	0.03255420997738834	5	0	5:0	13	4	0.3076923076923077	1.78343949044586	0.2532563820243703	0.8036025160307358	False
0.8	top20%	0.03255420997738834	1	2	1:2	22	6	0.2727272727272727	1.5060096153846154	0.2678675053435786	0.8036025160307358	False
0.8	top20%	0.03255420997738834	0	4	0:4	69	16	0.2318840579710145	1.215544170935899	0.29631673792616275	0.8296868661932557	False
0.8	top20%	0.03255420997738834	11	7	11:7	28	7	0.25	1.337620578778135	0.3224823678344016	0.8465162155653042	False
0.8	top20%	0.03255420997738834	2	3	2:3	11	3	0.2727272727272727	1.5011904761904762	0.3838576769447246	0.8471080861197725	False
0.8	top20%	0.03255420997738834	5	5	5:5	15	4	0.26666666666666666	1.4568616097278517	0.35302379318977517	0.8471080861197725	False
0.8	top20%	0.03255420997738834	11	6	11:6	16	4	0.25	1.3343949044585988	0.4033848029141774	0.8471080861197725	False
0.8	top20%	0.03255420997738834	1	4	1:4	53	12	0.22641509433962265	1.1745576279292205	0.36831471367057095	0.8471080861197725	False
0.8	top20%	0.03255420997738834	0	1	0:1	33	7	0.21212121212121213	1.076057383131338	0.5025267271136014	1.0	False
0.8	top20%	0.03255420997738834	9	5	9:5	39	8	0.20512820512820512	1.0305931321540063	0.5352383744016258	1.0	False
0.8	top20%	0.03255420997738834	2	5	2:5	15	3	0.2	0.9976190476190476	0.6043492131477437	1.0	False
0.8	top20%	0.03255420997738834	3	1	3:1	15	3	0.2	0.9976190476190476	0.6043492131477437	1.0	False
0.8	top20%	0.03255420997738834	7	0	7:0	25	5	0.2	0.9976038338658147	0.5824350357338317	1.0	False
0.8	top20%	0.03255420997738834	0	5	0:5	63	12	0.19047619047619047	0.936562860438293	0.6308968565133765	1.0	False
0.8	top20%	0.03255420997738834	10	1	10:1	11	2	0.18181818181818182	0.8860759493670886	0.6799273558780938	1.0	False
0.8	top20%	0.03255420997738834	0	2	0:2	102	17	0.16666666666666666	0.7867109634551495	0.8433134750947213	1.0	False
0.8	top20%	0.03255420997738834	10	4	10:4	34	5	0.14705882352941177	0.6830450589401784	0.8422761264466712	1.0	False
0.8	top20%	0.03255420997738834	0	0	0:0	51	7	0.13725490196078433	0.6266442560654779	0.912304243273502	1.0	False
0.8	top20%	0.03255420997738834	11	2	11:2	16	2	0.125	0.5673598553345389	0.8613902135786305	1.0	False
0.8	top20%	0.03255420997738834	10	3	10:3	42	5	0.11904761904761904	0.5319057076245575	0.9449792512322357	1.0	False
0.8	top20%	0.03255420997738834	8	7	8:7	19	2	0.10526315789473684	0.466120625465376	0.9189733235235352	1.0	False
0.8	top20%	0.03255420997738834	10	7	10:7	49	5	0.10204081632653061	0.4447429567237874	0.9802995339069699	1.0	False
0.8	top20%	0.03255420997738834	11	3	11:3	30	3	0.1	0.4380952380952381	0.9576642580165008	1.0	False
0.8	top20%	0.03255420997738834	9	4	9:4	22	2	0.09090909090909091	0.395253164556962	0.9535075167138842	1.0	False
0.8	top20%	0.03255420997738834	9	3	9:3	34	3	0.08823529411764706	0.38033794162826423	0.9786874285529386	1.0	False
0.8	top20%	0.03255420997738834	1	6	1:6	23	2	0.08695652173913043	0.37613019891500904	0.9614992224015203	1.0	False
0.8	top20%	0.03255420997738834	7	2	7:2	13	1	0.07692307692307693	0.3304416403785489	0.9460339931969551	1.0	False
0.8	top20%	0.03255420997738834	11	1	11:1	32	2	0.0625	0.26139240506329114	0.9933549452146863	1.0	False
0.8	top20%	0.03255420997738834	10	0	10:0	22	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.03255420997738834	11	0	11:0	22	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.035583557561039876	1	5	1:5	19	10	0.5263157894736842	6.530214424951267	0.00012755543220650947	0.005357328152673398	True
0.85	top15%	0.035583557561039876	0	7	0:7	144	37	0.2569444444444444	2.1366996791742223	0.00030194088149438557	0.0063407585113820965	True
0.85	top15%	0.035583557561039876	4	7	4:7	13	5	0.38461538461538464	3.5971030042918457	0.03352067223468954	0.46928941128565355	False
