source	target	edge_score	max_head_layer_score	top_head_layers
SOX6	OR10K1	0.1214910745620727	0.317138671875	"[{""layer"": 1, ""head"": 5, ""score"": 0.317138671875}, {""layer"": 1, ""head"": 6, ""score"": 0.306884765625}, {""layer"": 1, ""head"": 1, ""score"": 0.30322265625}, {""layer"": 0, ""head"": 7, ""score"": 0.27978515625}, {""layer"": 8, ""head"": 3, ""score"": 0.24755859375}]"
MAL	RP11-15E1.5	0.1184131279587745	0.87890625	"[{""layer"": 0, ""head"": 1, ""score"": 0.87890625}, {""layer"": 3, ""head"": 6, ""score"": 0.38916015625}, {""layer"": 1, ""head"": 3, ""score"": 0.383544921875}, {""layer"": 11, ""head"": 0, ""score"": 0.346435546875}, {""layer"": 5, ""head"": 5, ""score"": 0.342529296875}]"
SOX6	SPINK5	0.1158167347311973	0.411865234375	"[{""layer"": 0, ""head"": 3, ""score"": 0.411865234375}, {""layer"": 11, ""head"": 5, ""score"": 0.250732421875}, {""layer"": 1, ""head"": 1, ""score"": 0.2452392578125}, {""layer"": 4, ""head"": 2, ""score"": 0.243408203125}, {""layer"": 1, ""head"": 0, ""score"": 0.234375}]"
SOX6	PCAT5	0.1135534271597862	0.50048828125	"[{""layer"": 11, ""head"": 3, ""score"": 0.50048828125}, {""layer"": 1, ""head"": 2, ""score"": 0.306640625}, {""layer"": 2, ""head"": 7, ""score"": 0.302490234375}, {""layer"": 2, ""head"": 2, ""score"": 0.269287109375}, {""layer"": 10, ""head"": 1, ""score"": 0.25537109375}]"
SOX6	SP9	0.0987398996949195	0.5732421875	"[{""layer"": 0, ""head"": 5, ""score"": 0.5732421875}, {""layer"": 0, ""head"": 6, ""score"": 0.53271484375}, {""layer"": 0, ""head"": 1, ""score"": 0.363525390625}, {""layer"": 4, ""head"": 6, ""score"": 0.1959228515625}, {""layer"": 6, ""head"": 0, ""score"": 0.18994140625}]"
SOX6	RP11-478H12.2	0.0980930402874946	0.288330078125	"[{""layer"": 0, ""head"": 5, ""score"": 0.288330078125}, {""layer"": 0, ""head"": 7, ""score"": 0.27197265625}, {""layer"": 3, ""head"": 6, ""score"": 0.230712890625}, {""layer"": 9, ""head"": 7, ""score"": 0.189697265625}, {""layer"": 11, ""head"": 6, ""score"": 0.16357421875}]"
SOX6	GABRA2	0.096593476831913	0.61669921875	"[{""layer"": 0, ""head"": 4, ""score"": 0.61669921875}, {""layer"": 10, ""head"": 7, ""score"": 0.29248046875}, {""layer"": 7, ""head"": 7, ""score"": 0.268310546875}, {""layer"": 8, ""head"": 2, ""score"": 0.2474365234375}, {""layer"": 11, ""head"": 2, ""score"": 0.2413330078125}]"
PBX1	OSBP2	0.0912071838974952	0.354736328125	"[{""layer"": 0, ""head"": 4, ""score"": 0.354736328125}, {""layer"": 1, ""head"": 3, ""score"": 0.2314453125}, {""layer"": 7, ""head"": 2, ""score"": 0.2255859375}, {""layer"": 0, ""head"": 6, ""score"": 0.185791015625}, {""layer"": 8, ""head"": 2, ""score"": 0.177978515625}]"
PBX1	C2orf88	0.0906092748045921	0.560546875	"[{""layer"": 0, ""head"": 3, ""score"": 0.560546875}, {""layer"": 0, ""head"": 7, ""score"": 0.274658203125}, {""layer"": 0, ""head"": 2, ""score"": 0.26904296875}, {""layer"": 10, ""head"": 3, ""score"": 0.152587890625}, {""layer"": 10, ""head"": 5, ""score"": 0.152099609375}]"
MXI1	XGY1	0.0900825038552284	0.41015625	"[{""layer"": 0, ""head"": 7, ""score"": 0.41015625}, {""layer"": 2, ""head"": 2, ""score"": 0.281494140625}, {""layer"": 3, ""head"": 1, ""score"": 0.237060546875}, {""layer"": 1, ""head"": 6, ""score"": 0.23193359375}, {""layer"": 10, ""head"": 4, ""score"": 0.1983642578125}]"
SOX6	AC005730.2	0.0878464877605438	0.259033203125	"[{""layer"": 11, ""head"": 2, ""score"": 0.259033203125}, {""layer"": 2, ""head"": 3, ""score"": 0.182373046875}, {""layer"": 4, ""head"": 7, ""score"": 0.150146484375}, {""layer"": 9, ""head"": 5, ""score"": 0.1390380859375}, {""layer"": 5, ""head"": 6, ""score"": 0.1378173828125}]"
MAL	PDCL3P2	0.0855416059494018	0.5654296875	"[{""layer"": 0, ""head"": 0, ""score"": 0.5654296875}, {""layer"": 8, ""head"": 7, ""score"": 0.367431640625}, {""layer"": 10, ""head"": 3, ""score"": 0.3193359375}, {""layer"": 11, ""head"": 3, ""score"": 0.313720703125}, {""layer"": 7, ""head"": 6, ""score"": 0.296875}]"
MAL	RP11-67L17.1	0.0815391466021537	0.33837890625	"[{""layer"": 0, ""head"": 0, ""score"": 0.33837890625}, {""layer"": 0, ""head"": 3, ""score"": 0.2978515625}, {""layer"": 5, ""head"": 6, ""score"": 0.256103515625}, {""layer"": 1, ""head"": 1, ""score"": 0.252197265625}, {""layer"": 4, ""head"": 6, ""score"": 0.2353515625}]"
MAL	IGKV3-11	0.0752361044287681	0.23388671875	"[{""layer"": 9, ""head"": 5, ""score"": 0.23388671875}, {""layer"": 6, ""head"": 7, ""score"": 0.18603515625}, {""layer"": 3, ""head"": 2, ""score"": 0.1827392578125}, {""layer"": 9, ""head"": 2, ""score"": 0.1751708984375}, {""layer"": 7, ""head"": 3, ""score"": 0.16845703125}]"
NCOA4	CTD-2542L18.1	0.0749166831374168	0.24365234375	"[{""layer"": 0, ""head"": 7, ""score"": 0.24365234375}, {""layer"": 1, ""head"": 5, ""score"": 0.2088623046875}, {""layer"": 8, ""head"": 4, ""score"": 0.2061767578125}, {""layer"": 1, ""head"": 7, ""score"": 0.1953125}, {""layer"": 3, ""head"": 3, ""score"": 0.192138671875}]"
NCOA4	BTBD10P2	0.0738997235894203	0.1744384765625	"[{""layer"": 11, ""head"": 7, ""score"": 0.1744384765625}, {""layer"": 2, ""head"": 2, ""score"": 0.15185546875}, {""layer"": 4, ""head"": 4, ""score"": 0.1456298828125}, {""layer"": 4, ""head"": 5, ""score"": 0.1363525390625}, {""layer"": 4, ""head"": 3, ""score"": 0.1324462890625}]"
