quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.8	top20%	0.033883022516965844	0	3	0:3	173	79	0.45664739884393063	4.131799163179917	3.185865590797287e-16	1.1469116126870234e-14	True
0.8	top20%	0.033883022516965844	10	2	10:2	156	46	0.2948717948717949	1.781885026737968	0.0019259323833773576	0.034666782900792434	True
0.8	top20%	0.033883022516965844	0	2	0:2	82	25	0.3048780487804878	1.81426261900485	0.01387786356795025	0.166534362815403	False
0.8	top20%	0.033883022516965844	2	0	2:0	23	8	0.34782608695652173	2.1574193548387095	0.07071662605893474	0.6364496345304126	False
0.8	top20%	0.033883022516965844	1	1	1:1	12	4	0.3333333333333333	2.0079617834394905	0.2057650020533324	1.0	False
0.8	top20%	0.033883022516965844	2	7	2:7	18	5	0.2777777777777778	1.5433767510444827	0.28435892492439996	1.0	False
0.8	top20%	0.033883022516965844	1	3	1:3	33	9	0.2727272727272727	1.5109223300970873	0.19948701555687	1.0	False
0.8	top20%	0.033883022516965844	1	5	1:5	25	6	0.24	1.2651821862348178	0.38486288109742633	1.0	False
0.8	top20%	0.033883022516965844	0	0	0:0	51	11	0.21568627450980393	1.1008957654723126	0.4471365302011219	1.0	False
0.8	top20%	0.033883022516965844	8	4	8:4	19	4	0.21052631578947367	1.064968152866242	0.5473987459294424	1.0	False
0.8	top20%	0.033883022516965844	0	5	0:5	73	14	0.1917808219178082	0.9444692239072257	0.622730897631009	1.0	False
0.8	top20%	0.033883022516965844	0	1	0:1	59	11	0.1864406779661017	0.9114413680781759	0.6599564535028424	1.0	False
0.8	top20%	0.033883022516965844	9	1	9:1	11	2	0.18181818181818182	0.8860759493670886	0.6799273558780938	1.0	False
0.8	top20%	0.033883022516965844	11	5	11:5	11	2	0.18181818181818182	0.8860759493670886	0.6799273558780938	1.0	False
0.8	top20%	0.033883022516965844	0	7	0:7	83	15	0.18072289156626506	0.8743447874199185	0.7202373692954	1.0	False
0.8	top20%	0.033883022516965844	0	6	0:6	79	14	0.17721518987341772	0.8530364372469635	0.7443868480484741	1.0	False
0.8	top20%	0.033883022516965844	10	5	10:5	23	4	0.17391304347826086	0.8380824673147838	0.7068299878727403	1.0	False
0.8	top20%	0.033883022516965844	1	4	1:4	24	4	0.16666666666666666	0.7955414012738854	0.7396118644859782	1.0	False
0.8	top20%	0.033883022516965844	0	4	0:4	44	7	0.1590909090909091	0.749456852350743	0.8097945449984355	1.0	False
0.8	top20%	0.033883022516965844	11	7	11:7	26	4	0.15384615384615385	0.7220613781123335	0.7967322263281371	1.0	False
0.8	top20%	0.033883022516965844	1	6	1:6	20	3	0.15	0.7014005602240896	0.7968332305580628	1.0	False
0.8	top20%	0.033883022516965844	10	0	10:0	117	16	0.13675213675213677	0.6126811356632352	0.9757336989338478	1.0	False
0.8	top20%	0.033883022516965844	1	2	1:2	54	7	0.12962962962962962	0.5852090032154341	0.9390134485251792	1.0	False
0.8	top20%	0.033883022516965844	6	4	6:4	10	1	0.1	0.4416403785488959	0.8938922514651575	1.0	False
0.8	top20%	0.033883022516965844	8	5	8:5	10	1	0.1	0.4416403785488959	0.8938922514651575	1.0	False
0.8	top20%	0.033883022516965844	6	6	6:6	11	1	0.09090909090909091	0.3971608832807571	0.9152887410238638	1.0	False
0.8	top20%	0.033883022516965844	8	2	8:2	13	1	0.07692307692307693	0.3304416403785489	0.9460339931969551	1.0	False
0.8	top20%	0.033883022516965844	4	3	4:3	27	2	0.07407407407407407	0.3149367088607595	0.9821536704958623	1.0	False
0.8	top20%	0.033883022516965844	1	0	1:0	31	2	0.06451612903225806	0.27062418158009605	0.9918865685730743	1.0	False
0.8	top20%	0.033883022516965844	1	7	1:7	10	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.033883022516965844	2	6	2:6	13	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.033883022516965844	9	6	9:6	15	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.033883022516965844	10	6	10:6	13	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.033883022516965844	11	0	11:0	12	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.033883022516965844	11	3	11:3	17	0	0.0	0.0	1.0	1.0	False
0.8	top20%	0.033883022516965844	11	4	11:4	10	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	0	3	0:3	173	62	0.3583815028901734	3.928951678951679	2.7470831612024126e-13	9.889499380328685e-12	True
0.85	top15%	0.03715075440704812	0	2	0:2	82	21	0.25609756097560976	2.043363299841354	0.0069625080065076755	0.12532514411713816	False
0.85	top15%	0.03715075440704812	10	2	10:2	156	33	0.21153846153846154	1.6045211183819155	0.018615741734079802	0.22338890080895765	False
0.85	top15%	0.03715075440704812	2	0	2:0	23	7	0.30434782608695654	2.524621212121212	0.0450217344524348	0.4051956100719132	False
0.85	top15%	0.03715075440704812	1	3	1:3	33	7	0.21212121212121213	1.5419580419580419	0.21530409688973945	1.0	False
0.85	top15%	0.03715075440704812	1	5	1:5	25	5	0.2	1.4259656652360515	0.3170597956247585	1.0	False
0.85	top15%	0.03715075440704812	11	5	11:5	11	2	0.18181818181818182	1.2617702448210923	0.5082974292997813	1.0	False
0.85	top15%	0.03715075440704812	0	0	0:0	51	9	0.17647058823529413	1.2230193387398627	0.3528190905340347	1.0	False
0.85	top15%	0.03715075440704812	1	4	1:4	24	4	0.16666666666666666	1.1358974358974359	0.49573886646438237	1.0	False
0.85	top15%	0.03715075440704812	2	7	2:7	18	3	0.16666666666666666	1.1353191489361703	0.5210244260328705	1.0	False
0.85	top15%	0.03715075440704812	1	1	1:1	12	2	0.16666666666666666	1.1347457627118644	0.5572187534634883	1.0	False
0.85	top15%	0.03715075440704812	0	5	0:5	73	11	0.1506849315068493	1.0058973994599971	0.5456424461525913	1.0	False
0.85	top15%	0.03715075440704812	1	6	1:6	20	3	0.15	1.000250312891114	0.5962597216426379	1.0	False
0.85	top15%	0.03715075440704812	0	1	0:1	59	8	0.13559322033898305	0.8852514919011083	0.6805473317722726	1.0	False
0.85	top15%	0.03715075440704812	10	5	10:5	23	3	0.13043478260869565	0.8482978723404255	0.6938065173312855	1.0	False
0.85	top15%	0.03715075440704812	0	7	0:7	83	10	0.12048192771084337	0.7666426339822158	0.8230688871354612	1.0	False
0.85	top15%	0.03715075440704812	11	7	11:7	26	3	0.11538461538461539	0.7359851988899168	0.7725469551569301	1.0	False
0.85	top15%	0.03715075440704812	0	6	0:6	79	9	0.11392405063291139	0.7180910792264504	0.862267867735374	1.0	False
0.85	top15%	0.03715075440704812	10	0	10:0	117	13	0.1111111111111111	0.6916666666666667	0.9170212469762216	1.0	False
0.85	top15%	0.03715075440704812	6	4	6:4	10	1	0.1	0.6282231598687295	0.804039688149041	1.0	False
0.85	top15%	0.03715075440704812	8	5	8:5	10	1	0.1	0.6282231598687295	0.804039688149041	1.0	False
0.85	top15%	0.03715075440704812	9	1	9:1	11	1	0.09090909090909091	0.5649789029535865	0.8336139140339669	1.0	False
0.85	top15%	0.03715075440704812	8	2	8:2	13	1	0.07692307692307693	0.470112517580872	0.8800865895168994	1.0	False
0.85	top15%	0.03715075440704812	4	3	4:3	27	2	0.07407407407407407	0.4488135593220339	0.9299711782756617	1.0	False
0.85	top15%	0.03715075440704812	1	2	1:2	54	4	0.07407407407407407	0.4441025641025641	0.9723659672864106	1.0	False
0.85	top15%	0.03715075440704812	1	0	1:0	31	2	0.06451612903225806	0.38573933372296904	0.9593704607774746	1.0	False
0.85	top15%	0.03715075440704812	8	4	8:4	19	1	0.05263157894736842	0.31200187529301454	0.9552349612491763	1.0	False
0.85	top15%	0.03715075440704812	0	4	0:4	44	2	0.045454545454545456	0.26372074253430183	0.9936369275905715	1.0	False
0.85	top15%	0.03715075440704812	1	7	1:7	10	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	2	6	2:6	13	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	6	6	6:6	11	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	9	6	9:6	15	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	10	6	10:6	13	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	11	0	11:0	12	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	11	3	11:3	17	0	0.0	0.0	1.0	1.0	False
0.85	top15%	0.03715075440704812	11	4	11:4	10	0	0.0	0.0	1.0	1.0	False
0.9	top10%	0.04100023013353342	0	3	0:3	173	44	0.2543352601156069	3.8527805864509608	2.966972358216163e-10	1.0681100489578186e-08	True
0.9	top10%	0.04100023013353342	0	2	0:2	82	13	0.15853658536585366	1.7537224538415723	0.05912165938429683	0.709459912611562	False
0.9	top10%	0.04100023013353342	10	2	10:2	156	22	0.14102564102564102	1.5507135853578822	0.05413506592750359	0.709459912611562	False
