layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	p_value_low_enriched	mean_edge_score_nonzero	mean_max_head_score_nonzero	edge_score_q90_threshold	q_value_high_enriched	q_value_low_enriched	significant_high_enriched_q_lt_0_10	significant_low_enriched_q_lt_0_10
0	3	0:3	21517	4384	0.20374587535437097	3.1605463632078936	0.0	1.0	0.011330448771409544	0.4492098143067106	0.01442219503223888	0.0	1.0	True	False
0	5	0:5	12181	2165	0.17773581807733355	2.1758804001220526	6.177242099413159e-173	1.0	0.011650229331150523	0.21859809935169905	0.01442219503223888	1.976717471812211e-171	1.0	True	False
9	1	9:1	789	142	0.17997465145754118	1.98795337525806	4.8807634992748985e-12	0.9999999999975822	0.010998366651332558	0.04875909944702715	0.01442219503223888	1.0412295465119783e-10	1.0	True	False
0	4	0:4	2921	330	0.11297500855871277	1.1507690893370432	0.010599748780591474	0.9909790684404913	0.0105566227333232	0.21396341595303722	0.01442219503223888	0.13567678439157088	1.0	False	False
1	4	1:4	10172	1086	0.10676366496264254	1.0839668584723239	0.009338924180746644	0.9914833149763208	0.010093230662255039	0.13670435656119084	0.01442219503223888	0.13567678439157088	1.0	False	False
7	6	7:6	52	5	0.09615384615384616	0.9574178974737536	0.6046131837117131	0.5791652553360405	0.008670513858445512	0.04890919220753205	0.01442219503223888	1.0	0.6282470566357049	False	False
1	3	1:3	8724	777	0.0890646492434663	0.8708602252658841	0.9998515966285787	0.00017199647895567766	0.010751733337416674	0.12915052623164816	0.01442219503223888	1.0	0.00026848230861374075	False	True
10	5	10:5	2085	162	0.0776978417266187	0.7545827729084168	0.9998283498514233	0.00023182206041951508	0.009211521572848666	0.11625983832074964	0.01442219503223888	1.0	0.0003371957242465674	False	True
0	6	0:6	3087	209	0.06770327178490444	0.6468899369627102	0.9999999999333324	1.0405049671440691e-10	0.00854241482699032	0.10901330104078617	0.01442219503223888	1.0	2.7746799123841843e-10	False	True
1	6	1:6	6791	462	0.06803121778824915	0.6419928199040223	1.0	9.8442524601723e-22	0.00954938440853978	0.11786519869748754	0.01442219503223888	1.0	4.2002143830068476e-21	False	True
2	0	2:0	1540	97	0.06298701298701298	0.6014833266134992	0.9999999152759338	1.4318569934854404e-07	0.010118075951629567	0.08505547275987513	0.01442219503223888	1.0	3.0546282527689397e-07	False	True
10	4	10:4	768	46	0.059895833333333336	0.5716171512423059	0.9999731940175294	4.8280896831708254e-05	0.008761237898700782	0.09559394253624809	0.01442219503223888	1.0	8.828506849226652e-05	False	True
1	5	1:5	4653	257	0.05523318289275736	0.5148655034414845	1.0	2.0818201784035737e-29	0.010383544496332327	0.10487987416065275	0.01442219503223888	1.0	1.3323649141782872e-28	False	True
8	7	8:7	1152	57	0.049479166666666664	0.4657309821943991	0.9999999998922696	2.351290079486268e-10	0.008670531688520444	0.06776816756637008	0.01442219503223888	1.0	6.019302603484846e-10	False	True
6	1	6:1	226	11	0.048672566371681415	0.45992255790767234	0.9983375383848926	0.0038809433861350232	0.008787382584375125	0.057834130861635295	0.01442219503223888	1.0	0.004516006849320755	False	True
