layer	head	head_id	n_thresholds_tested	n_thresholds_significant	min_q_value	max_odds_ratio	mean_odds_ratio	mean_high_conf_fraction	max_high_conf_fraction
0	3	0:3	4	4	0.0	3.1605463632078936	3.0608780365085266	0.24012408793047357	0.36296881535530046
0	5	0:5	4	4	5.03117877e-316	2.280884711026937	2.2195245081113417	0.21687464083408586	0.3379853870782366
9	1	9:1	4	3	4.160732250144342e-48	3.060638297436561	2.067632824065733	0.23922686945500635	0.4309252217997465
0	4	0:4	4	2	1.984783706709784e-08	1.3063667656030038	1.2155429893037528	0.1484936665525505	0.24477918521054434
1	4	1:4	4	2	0.07085338450745787	1.1307854396986563	1.086019856042327	0.13215198584349194	0.20762878489972472
1	3	1:3	4	1	0.003936957035476167	1.0989513405886073	0.9286194328555359	0.1227074736359468	0.21423658872077028
7	6	7:6	4	0	1.0	1.1633429599417227	0.8453480427296537	0.09615384615384616	0.11538461538461539
10	5	10:5	4	0	1.0	0.9666181136976275	0.7989555384278597	0.09964028776978417	0.15827338129496402
1	6	1:6	4	0	1.0	0.7232927082839352	0.6741179151188872	0.09229126785451333	0.15549992637314092
0	6	0:6	4	0	1.0	0.8518744080226616	0.6562201275936489	0.08155166828636216	0.12115322319403952
2	0	2:0	4	0	1.0	0.8254910759429669	0.6288155901070761	0.09042207792207792	0.17142857142857143
10	4	10:4	4	0	1.0	0.7711068279655848	0.5940664159259652	0.07454427083333333	0.1171875
1	5	1:5	4	0	1.0	0.773071832047403	0.5639885201748083	0.08403180743606276	0.16333548248441865
6	0	6:0	4	0	1.0	0.8888184252380664	0.5071539393529363	0.07954545454545454	0.18181818181818182
10	7	10:7	4	0	1.0	0.5040055997729883	0.46412862724954584	0.06230886850152905	0.09862385321100918
11	5	11:5	4	0	1.0	0.4531854057122051	0.44628327172943927	0.0608600583090379	0.10058309037900874
8	7	8:7	4	0	1.0	0.48898069227439006	0.4355789000024307	0.06358506944444445	0.109375
6	1	6:1	4	0	1.0	0.4746713431314125	0.4269120751276664	0.06084070796460177	0.10619469026548672
4	0	4:0	4	0	1.0	0.6487142902242572	0.37103232197234315	0.06418918918918919	0.13963963963963963
0	7	0:7	4	0	1.0	0.5572773633091107	0.3649946563178924	0.04575268817204301	0.06795698924731183
0	1	0:1	4	0	1.0	0.410278559810887	0.3623566805281756	0.05404663923182442	0.09492455418381344
1	2	1:2	4	0	1.0	0.43436672274119975	0.35979073239546333	0.04816272965879265	0.07874015748031496
6	4	6:4	4	0	1.0	0.46474752380842005	0.352872211288178	0.05381944444444445	0.10416666666666667
3	7	3:7	4	0	1.0	0.4263285217182478	0.3518709377381281	0.046030871003307605	0.06945975744211687
6	7	6:7	4	0	1.0	0.48401385197712815	0.3171635851001139	0.049212598425196846	0.07874015748031496
4	6	4:6	4	0	1.0	0.554416468465513	0.3006412222103856	0.03368794326241135	0.0425531914893617
0	2	0:2	4	0	1.0	0.4203844701273207	0.2984006120923596	0.04899283031751451	0.09662000682826903
