layer	head	count	tissues
0	6	3	external_krasnow_lung,immune,lung
0	1	2	external_krasnow_lung,immune
2	4	2	external_krasnow_lung,kidney
3	4	2	external_krasnow_lung,kidney
4	4	2	kidney,lung
0	0	1	immune
0	2	1	immune
0	3	1	immune
0	4	1	immune
0	5	1	immune
0	7	1	immune
1	0	1	immune
1	1	1	immune
1	7	1	lung
2	0	1	external_krasnow_lung
3	0	1	kidney
3	1	1	kidney
3	2	1	external_krasnow_lung
3	7	1	lung
4	1	1	external_krasnow_lung
4	3	1	lung
4	7	1	lung
5	0	1	lung
5	7	1	lung
6	0	1	lung
6	3	1	lung
6	5	1	external_krasnow_lung
7	1	1	kidney
7	2	1	kidney
7	4	1	kidney
8	5	1	external_krasnow_lung
10	4	1	kidney
10	5	1	kidney
11	5	1	external_krasnow_lung
